# of Threads,Time for FFTW
1,0.51049339 
,0.52711521 
,0.53462623 
,0.51051186 
,0.54614771 
 
 
2,0.35149806 
,0.36138648 
,0.38369950 
,0.36611828 
,0.37215031 
 
 
3,0.32204371 
,0.32253135 
,0.32213005 
,0.32357811 
,0.32119706 
 
 
4,0.29503174 
,0.29132001 
,0.29399343 
,0.29344635 
,0.29428055 
 
 
5,0.32321368 
,0.32686465 
,0.32826546 
,0.32412691 
,0.32184702 
 
 
6,0.30906161 
,0.30772772 
,0.30681823 
,0.30609978 
,0.30501257 
 
 
7,0.29647978 
,0.29472584 
,0.29524559 
,0.29271895 
,0.29729975 
 
 
8,0.28478694 
,0.29849215 
,0.27998190 
,0.28736035 
,0.28199981 
 
 
9,0.29419299 
,0.28056814 
,0.28021035 
,0.28004090 
,0.27896697 
 
 
10,0.27718343 
,0.27601786 
,0.29332114 
,0.27631025 
,0.27756054 
 
 
11,0.35642429 
,0.32744940 
,0.34277158 
,0.33827169 
,0.34586705 
 
 
12,0.35405271 
,0.34831630 
,0.34354298 
,0.35076398 
,0.35669868 
 
 
13,0.28328649 
,0.28713333 
,0.30372060 
,0.28604127 
,0.28146388 
 
 
14,0.27995480 
,0.28211377 
,0.28733762 
,0.28685613 
,0.32056634 
 
 
15,0.28480419 
,0.30447835 
,0.27740479 
,0.28437995 
,0.28607380 
 
 
16,0.27851269 
,0.27767848 
,0.27665513 
,0.29667290 
,0.29514974 
 
 
17,0.28063240 
,0.27580929 
,0.29557687 
,0.27683152 
,0.29490774 
 
 
18,0.27487478 
,0.29871546 
,0.28788338 
,0.27805581 
,0.27687932 
 
 
19,0.28763897 
,0.29158321 
,0.27599903 
,0.29704616 
,0.27725182 
 
 
20,0.30231314 
,0.27681845 
,0.27012848 
,0.28233240 
,0.27366669 
 
 
21,0.28075145 
,0.29096530 
,0.30666142 
,0.27757076 
,0.28889478 
 
 
22,0.27232090 
,0.27476703 
,0.28978847 
,0.29312628 
,0.31507880 
 
 
23,0.27587985 
,0.27748932 
,0.28204497 
,0.27578762 
,0.27689433 
 
 
24,0.27966229 
,0.28931146 
,0.27124500 
,0.27719934 
,0.28949863 
 
 
