# of Grids,Order of Interpolation,Time for FFTW,Relative Error
50,3,0.19621148,0.0000239610 
,,0.21429539,0.0000239610 
,,0.20541839,0.0000239610 
,,0.21572160,0.0000239610 
,,0.20381857,0.0000239610 
 
 
50,4,0.24183327,0.0000052572 
,,0.23597961,0.0000052572 
,,0.24518143,0.0000052572 
,,0.23853321,0.0000052572 
,,0.24237557,0.0000052572 
 
 
50,5,0.28499614,0.0000000654 
,,0.29840225,0.0000000654 
,,0.32725805,0.0000000654 
,,0.29902383,0.0000000654 
,,0.29445957,0.0000000654 
 
 
50,6,0.37405909,0.0000000104 
,,0.38261621,0.0000000104 
,,0.37201281,0.0000000104 
,,0.37165967,0.0000000104 
,,0.37165967,0.0000000104 
 
 
50,7,0.48310370,0.0000000003 
,,0.51319847,0.0000000003 
,,0.47846397,0.0000000003 
,,0.48779084,0.0000000003 
,,0.47732499,0.0000000003 
 
 
50,8,0.64429603,0.0000000000 
,,0.64650310,0.0000000000 
,,0.65601692,0.0000000000 
,,0.64577765,0.0000000000 
,,0.62915632,0.0000000000 
 
 
50,9,0.93049765,0.0000000000 
,,0.94373647,0.0000000000 
,,0.87180723,0.0000000000 
,,0.90104055,0.0000000000 
,,0.89199394,0.0000000000 
 
 
50,10,1.30796075,0.0000000000 
,,1.28388746,0.0000000000 
,,1.30928886,0.0000000000 
,,1.34686408,0.0000000000 
,,1.34388183,0.0000000000 
 
 
60,3,1.40385586,0.0000000000 
,,1.42408955,0.0000000000 
,,1.43339027,0.0000000000 
,,1.40268960,0.0000000000 
,,1.52780754,0.0000000000 
 
  
60,4,0.29021458,0.0000021122 
,,0.29021458,0.0000021122 
,,0.27574593,0.0000021122 
,,0.31569366,0.0000021122 
,,0.26479035,0.0000021122 
 
 
60,5,,0.33975329,0.0000000149 
,,0.34233157,0.0000000149 
